,0-600m (Vallée),600-1200m (Colline),1200-1800m (Montagne),1800-2500m (Haute montagne)
Avant 1975,276.2419549362344,315.0614870752251,364.63821314042804,355.33313999472716
1975-2000,211.31326194398682,244.6806775731032,324.49929375413814,305.68895547945203
2001-2012,173.2900191754554,194.2077552843108,243.67163388804843,238.88603351955305
Après 2012,108.84473317277222,120.69106815869789,150.07576941866145,140.77547683923706
