tranche,total,pct_bons,pct_moyens,pct_mediocres,pct_passoires,nb_passoires
0-600m (Vallée),124595,5.7578554516633895,66.57811308639994,16.555238974276655,11.108792487660018,13841
600-1200m (Colline),45659,7.558203201997415,57.132219277688954,19.14189973499201,16.167677785321626,7382
1200-1800m (Montagne),25799,3.23655955657196,37.261134152486534,32.64467615023838,26.857630140703126,6929
1800-2500m (Haute montagne),6776,3.704250295159386,40.392561983471076,31.862455726092087,24.04073199527745,1629
