tranche,conso_moyenne,effectif,ecart_conso,surcout_annuel
0-600m (Vallée),196.8841807456158,124595,0.0,0.0
600-1200m (Colline),217.9305722858582,45659,21.04639154024241,294.64948156339375
1200-1800m (Montagne),294.8669444552114,25799,97.98276370959562,1371.7586919343387
1800-2500m (Haute montagne),294.39148465171195,6776,97.50730390609615,1365.1022546853462
