,code_commune,nombre_de_logements,conso_total_mwh,conso_moyenne_mwh,score_conso
0,01004,11760,32735.839,2.7836597789115647,17.81257257342227
1,01007,50,107.645,2.1529,13.77635578307471
2,01010,140,244.055,1.74325,11.15501519756839
3,01014,1745,2958.316,1.695310028653295,10.84824846362691
4,01024,1076,2492.948,2.3168661710037175,14.825571402999312
5,01025,406,2156.491,5.311554187192118,33.988508636647694
6,01026,91,277.735,3.052032967032967,19.529886207217835
7,01027,170,794.426,4.673094117647059,29.90301787008197
8,01030,240,613.5219999999999,2.5563416666666665,16.357969391564016
9,01031,6041,16535.449,2.7372039397450756,17.515302765925938
10,01032,1045,2843.2110000000002,2.720776076555024,17.410181260950402
11,01033,16474,54237.364,3.292300837683623,21.06735458444168
12,01034,4639,12931.956,2.7876602716102608,17.838171630844737
13,01038,85,468.861,5.516011764705882,35.29682780166938
14,01043,1862,6334.991,3.402250805585392,21.770921808257192
15,01047,274,2437.3379999999997,8.89539416058394,56.92141520130502
16,01049,1831,9667.298,5.27979137083561,33.785259131886804
17,01053,75693,167708.275,2.2156378396945557,14.177813723849342
18,01060,151,230.657,1.5275298013245033,9.774626788190712
19,01063,91,152.02,1.6705494505494507,10.68980611453816
20,01065,336,1467.462,4.367446428571428,27.94718559316224
21,01069,80,128.63400000000001,1.6079250000000003,10.289073748200291
22,01071,4283,13223.826000000001,3.087514826056503,19.756933777357244
23,01072,184,579.091,3.147233695652174,20.139073400429847
24,01074,516,1042.706,2.0207480620155036,12.93071868191012
25,01075,170,393.246,2.313211764705882,14.802186944206575
26,01078,332,1391.714,4.1919096385542165,26.823929857969713
27,01081,225,850.665,3.780733333333333,24.192822481736258
28,01082,76,105.794,1.3920263157894737,8.907543214138371
29,01083,75,327.156,4.36208,27.912845944648858
30,01088,167,1510.2579999999998,9.04346107784431,57.8688918755035
31,01089,24,27.012,1.1255,7.20204767237242
32,01091,58,152.147,2.623224137931034,16.785948730961668
33,01093,2255,4971.586,2.2046944567627493,14.107787277317227
34,01098,50,206.83100000000002,4.136620000000001,26.470132778755406
35,01103,1043,3374.281,3.23516874400767,20.701767678820477
36,01108,20,33.834,1.6917000000000002,10.825147976323791
37,01109,934,3705.0299999999997,3.966841541755888,25.383724471322278
38,01115,265,1514.7,5.715849056603774,36.57558186916509
39,01118,233,1070.812,4.59575965665236,29.408156497535504
40,01134,140,317.48199999999997,2.267728571428571,14.511141074570928
41,01135,313,1140.468,3.6436677316293933,23.31574296355395
42,01138,145,764.005,5.269,33.716205407134865
43,01140,12,13.839,1.15325,7.379619260918255
44,01142,2039,7348.763,3.6041015203531144,23.062559720704623
45,01143,19146,76848.999,4.013840958947038,25.684472621641586
46,01145,210,615.4870000000001,2.9308904761904766,18.75469829589171
47,01148,535,1050.25,1.9630841121495326,12.561728441206418
48,01153,817,3012.75,3.6875764993880047,23.59671412182374
49,01157,771,1550.4589999999998,2.010971465629053,12.868158474669993
50,01159,607,1502.382,2.4750939044481055,15.838066897764236
51,01160,31339,75829.443,2.4196510099237374,15.483289137249962
52,01163,261,1017.751,3.8994291187739463,24.952353983515895
53,01165,215,2087.213,9.707967441860466,62.121052259545465
54,01166,201,406.65099999999995,2.0231393034825866,12.946020179059905
55,01171,52,247.207,4.753980769230769,30.420609625536844
56,01173,22146,77114.231,3.48208394292423,22.28177215117089
57,01175,12,53.376,4.4479999999999995,28.462645976643735
58,01179,147,878.34,5.975102040816327,38.23453553553881
59,01180,226,896.5600000000001,3.9670796460176994,25.38524809481811
60,01181,89,142.279,1.5986404494382023,10.229662130463621
61,01185,1108,2740.8089999999997,2.4736543321299638,15.828855108814361
62,01192,815,1901.476,2.3330993865030676,14.929447362041708
63,01194,5794,15979.693,2.757972557818433,17.6482006579327
64,01196,151,147.461,0.9765629139072849,6.249002808557255
65,01199,35,77.826,2.2236,14.228763397856344
66,01202,3982,10111.871,2.5393950276243094,16.24952825227522
67,01203,72,121.006,1.6806388888888888,10.754368189978493
68,01205,75,426.22,5.682933333333334,36.36495494054285
69,01210,205,237.205,1.1570975609756098,7.404239711890001
70,01211,60,317.769,5.29615,33.889937609982404
71,01213,25,74.379,2.9751600000000002,19.03797792353224
72,01224,1004,3531.004,3.5169362549800796,22.504791265270068
73,01229,489,542.045,1.1084764826175868,7.0931145904180894
74,01232,70,72.19699999999999,1.0313857142857141,6.599812601412346
75,01235,237,969.875,4.092299578059071,26.18652745518523
76,01236,40,53.79600000000001,1.3449000000000002,8.605983042713168
77,01237,388,582.7719999999999,1.5019896907216492,9.611196229221882
78,01238,236,817.74,3.465,22.172452407614784
79,01243,11,59.761,5.432818181818182,34.764474047788724
80,01244,5984,15074.939999999999,2.5192078877005346,16.120351225087408
81,01246,153,193.762,1.2664183006535947,8.103780519299919
82,01249,8415,21782.85,2.588573975044563,16.564223164578873
83,01250,107,161.899,1.5130747663551403,9.682129363974664
84,01262,7059,15165.021,2.1483242668933276,13.747075775993139
85,01263,916,2219.692,2.423244541484716,15.506284060052577
86,01265,2550,6027.208,2.363610980392157,15.124690324057957
87,01266,1115,2098.578,1.882132735426009,12.04372251112468
88,01267,96,245.579,2.5581145833333334,16.369314243054447
89,01268,77,519.732,6.749766233766233,43.19159324118531
90,01269,3732,10028.436,2.6871479099678455,17.194995424526287
91,01272,52,66.12299999999999,1.2715961538461538,8.136913478458832
92,01274,75,196.32500000000002,2.617666666666667,16.750386604809904
93,01275,706,2392.473,3.3887719546742208,21.684670962561007
94,01276,429,3159.378,7.364517482517483,47.125371828619315
