,code_commune,nom_commune,nombre_de_logements,conso_total_mwh,conso_moyenne_mwh,log_moyenne,log_total,score_moyenne_conso,score_total_conso
0,01004,,11760,32735.839,2.7836597789115647,1.3306917367118134,10.396256297699566,46.394028788198774,59.88584204108843
1,01007,,50,107.645,2.1529,1.148322664233769,4.688085686315399,39.79020930511468,25.112130756412178
2,01010,,140,244.055,1.74325,1.0091433488887716,5.5014826751465815,34.75034666925984,30.067279082397796
3,01014,,1745,2958.316,1.695310028653295,0.9915132362058781,7.992713439533678,34.11193753528634,45.24365435953648
4,01024,,1076,2492.948,2.3168661710037175,1.1990204127547515,7.82162227598252,41.62604021044359,44.20138090106243
5,01025,,406,2156.491,5.311554187192118,1.8423819516436413,7.676701251454097,64.92299186705145,43.31853380185689
6,01026,,91,277.735,3.052032967032967,1.399218722343707,5.630261509667236,48.87547938003311,30.851789272451917
7,01027,,170,794.426,4.673094117647059,1.7357346686610775,6.678877820195097,61.061156109439494,37.239874582651865
8,01030,,240,613.5219999999999,2.5563416666666665,1.268732394775886,6.420844729829837,44.15040105090902,35.667957974490335
9,01031,,6041,16535.449,2.7372039397450756,1.3183377221331205,9.713322253871539,45.946673976001115,55.72546336929649
10,01032,,1045,2843.2110000000002,2.720776076555024,1.3139322692562048,7.953040979450982,45.78714684157492,45.00197295812266
11,01033,,16474,54237.364,3.292300837683623,1.456822914969025,10.901143759917499,50.961401539955276,62.96157541307361
12,01034,,4639,12931.956,2.7876602716102608,1.331748485876896,9.467534061259917,46.43229503932502,54.228141682727916
13,01038,,85,468.861,5.516011764705882,1.8742624962485865,6.152436906282171,66.07742753277441,34.032839335257584
14,01043,,1862,6334.991,3.402250805585392,1.4821159568527462,8.754001513038707,51.87729523019866,49.88135940986116
15,01047,,274,2437.3379999999997,8.89539416058394,2.2920694125799046,7.799071938659882,81.20675520190656,44.064006079457485
16,01049,,1831,9667.298,5.27979137083561,1.8373367587237501,9.176607564683056,64.74029892000964,52.455841118191536
17,01053,,75693,167708.275,2.2156378396945557,1.1680257329402337,12.029987253377923,40.503682852094315,69.83839819914999
18,01060,,151,230.657,1.5275298013245033,0.9272424626736422,5.445257829407398,31.784609876720964,29.72476189328986
19,01063,,91,152.02,1.6705494505494507,0.9822842379636157,5.030568631803706,33.77774359783053,27.198509016127158
20,01065,,336,1467.462,4.367446428571428,1.680352270017019,7.291970873558888,59.055687977064174,40.97478761867679
21,01069,,80,128.63400000000001,1.6079250000000003,0.9585548859821853,4.864715095190577,32.91847313707411,26.188142755135367
22,01071,,4283,13223.826,3.0875148260565024,1.40793716338658,9.489851099740136,49.19118538236515,54.364095266752265
23,01072,,184,579.091,3.147233695652174,1.4224415326188868,6.363184987785212,49.71640731185478,35.316699513748134
24,01074,,516,1042.706,2.0207480620155036,1.1055045033676811,6.950533119587867,38.23970843830053,38.89477658071002
25,01075,,170,393.246,2.313211764705882,1.1979180405946204,5.976975079945134,41.58612189178481,32.96394015443114
26,01078,,332,1391.714,4.1919096385542165,1.6471015752738773,7.239009640424691,57.851637406497844,40.65215209222353
27,01081,,225,850.665,3.780733333333333,1.5645939517515195,6.7471932570206175,54.86392987299865,37.65604666968084
28,01082,,76,105.794,1.3920263157894737,0.8721408376120965,4.670901745172671,29.789308918139636,25.007447584041962
29,01083,,75,327.156,4.36208,1.679351959508511,5.79348910507377,59.01946544253319,31.846158513104733
30,01088,,167,1510.2579999999998,9.04346107784431,2.306921783727194,7.320697695546091,81.74457872987495,41.149789082704
31,01089,,24,27.012,1.1255,0.7540070688167078,3.332632989793271,25.511532684589618,16.854823128834642
32,01091,,58,152.147,2.623224137931034,1.2873642752853225,5.031398244448335,44.825085490780396,27.203562948909916
33,01093,,2255,4971.586,2.2046944567627493,1.1646167525247708,8.511695305701746,40.380239271561784,48.405249694496995
34,01098,,50,206.83100000000002,4.136620000000001,1.6363952756129119,5.336725249444291,57.46394847804025,29.063590239959947
35,01103,,1043,3374.281,3.23516874400767,1.443423172412388,8.12423385910003,50.47617956804179,46.044866062795435
36,01108,,20,33.834,1.6917000000000002,0.9901729642648596,3.550593921309593,34.06340455852409,18.18262340319431
37,01109,,934,3705.0299999999997,3.966841541755888,1.6027841334129629,8.217716501793653,56.24684563986325,46.61435472185433
38,01115,,265,1514.7,5.715849056603774,1.9044702637697177,7.323632657437611,67.17128978137764,41.16766863193185
39,01118,,233,1070.812,4.59575965665236,1.7220091067480066,6.9771059531167525,60.56413579812149,39.05665612217053
40,01134,,140,317.48199999999997,2.267728571428571,1.1840951170699707,5.763565958501532,41.08557599085497,31.66386913696786
41,01135,,313,1140.468,3.6436677316293933,1.5355045133925522,7.040070432287379,53.81056376669218,39.440230610204004
42,01138,,145,764.005,5.269,1.8356168522918315,6.639882369752889,64.67801888836911,37.00231746892635
43,01140,,12,13.839,1.15325,0.766978328687146,2.6972588500239896,25.981238745428737,12.984175525901673
44,01142,,2039,7348.763,3.6041015203531144,1.52694754108419,8.902423346789046,53.50070475563109,50.785533154227394
45,01143,,19146,76848.999,4.013840958947038,1.6122022798367481,11.24961073595438,56.587888877089895,65.08440790038296
46,01145,,210,615.4870000000001,2.9308904761904766,1.3688659844872164,6.424037235601859,47.776367568485306,35.68740646009964
47,01148,,535,1050.25,1.9630841121495326,1.0862306556841343,6.957735211287158,37.541777538520776,38.938651137804975
48,01153,,817,3012.75,3.6875764993880047,1.5449157110328027,8.010940429495381,54.1513553794988,45.35469170051099
49,01157,,771,1550.4589999999998,2.010971465629053,1.1022627727456433,7.346951057499944,38.12232118864338,41.30972242930277
